Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submitter	Assembly BioProject Accession	Annotation Count Gene Total
GCA_000230245.1	ASM23024v1	Sporisorium reilianum SRZ2	999809		18386378	Chromosome	Munich Information Center for Protein Sequences	PRJNA64587	6733
GCA_965140255.1	rLepOli2.hap2	Lepidochelys olivacea	27788		2208046144	Chromosome	Vertebrate Genomes Project	PRJNA1211706	24067
GCA_015731905.1	SDv1.1	Salix dunnii	1413687		327222375	Chromosome	Fujian Argriculture and Forestry University	PRJNA670558	29822
GCA_037504845.1	fPhoPho.hap2	Phoxinus phoxinus	58324		929446345	Chromosome	Leibniz Institute for the analysis of biodiversity change	PRJNA1030283	23114
GCA_037504875.1	fPhoPho.hap1	Phoxinus phoxinus	58324		939831526	Chromosome	Leibniz Institute for the analysis of biodiversity change	PRJNA1030284	23298
GCA_014282245.1	ASM1428224v1	Rhododendron simsii	118357		527682226	Chromosome	Ori-Gene Co. Ltd.	PRJNA588298	33466
GCA_029692045.1	COCON_1.0	Conger conger	82655		1005908649	Chromosome	GenoFish	PRJNA702045	23656
GCA_023748725.1	Uh811_v1	Ustilago hordei	120017		26215472	Chromosome	University of Cologne	PRJNA698760	7894
GCA_023748765.1	Uh818_v1	Ustilago hordei	120017		26240268	Chromosome	University of Cologne	PRJNA698760	7923
GCA_023748735.1	Uh1273_v1	Ustilago hordei	120017		27249071	Chromosome	University of Cologne	PRJNA698760	8012
GCA_023748715.1	Uh1278_v1	Ustilago hordei	120017		26574770	Chromosome	University of Cologne	PRJNA698760	7981
GCA_023748825.1	Uh359_v1	Ustilago hordei	120017		26999323	Chromosome	University of Cologne	PRJNA698760	8133
GCA_038363315.1	ASM3836331v1	Mugilogobius chulae	88201		1003362100	Chromosome	Guangdong Laboratory Animals Monitoring Institute	PRJNA1092871	34411
GCA_025594385.1	ASM2559438v1	Acer negundo	4023		442441229	Chromosome	University of Connecticut	PRJNA750066	29291
GCA_015342795.1	ASM1534279v1	Argiope bruennichi	94029		1670285661	Chromosome	Ernst-Moritz-Arndt University of Greifswald	PRJNA629526	23259
GCA_964260605.1	mermerasm	Merluccius merluccius	8063		646507975	Chromosome	Earth Biogenome Project Norway	PRJEB77069	22124
GCA_964030505.2	lplatythorax.final_scaffolds_v.1a	Lasius platythorax	488582		235769060	Chromosome	Senckenber Biodiversity and Climate Research Centre Frankfurt	PRJEB72067	14748
GCA_001618945.2	ASM161894v2	Drechmeria coniospora	98403		31848314	Chromosome	CNRS	PRJNA269584	8786
GCA_014466195.1	ASM1446619v1	Vespula germanica	30212		178197338	Chromosome	University of Otago	PRJNA643352	17187
GCA_002271885.2	ASM227188v2	Capsicum baccatum	33114		3215610539	Chromosome	Seoul National University	PRJNA308879	35853
GCA_019857665.1	UCB_Ecoq_1.0	Eleutherodactylus coqui	57060		2789347782	Chromosome	University of California, Berkeley	PRJNA578591	23332
GCA_965152195.1	rNatDep2.hap2	Natator depressus	27790		2130756730	Chromosome	Vertebrate Genomes Project	PRJNA1211700	25064
GCA_047655245.1	ASM4765524v1	Pygathrix nigripes	310352		2888895859	Chromosome	Northwest University	PRJNA658636	22851
GCA_900097045.1	PGABG01	Plasmodium gaboni	647221		21376081	Chromosome	Wellcome Trust Sanger Institute, Wellcome Genome Campus	PRJEB13584	5368
GCA_017918215.1	LU_Lgha_1.0	Leishmania sp. Ghana 2012 LV757	2803181		35953538	Chromosome	Lancaster University	PRJNA691536	8119
GCA_018127085.1	P2C.v1.0	Pneumocystis sp. 'macacae'	2698480		8274841	Chromosome	National Institutes Of Health	PRJNA632025	3427
GCA_029228505.1	Populus_alba_x_berolinensis.Group_C.v1.2	Populus alba x Populus x berolinensis	444605		464690449	Chromosome	Northeast Forestry University	PRJNA845081	40619
GCA_036426205.1	UCB_Atru_1.0	Ascaphus truei	8439		3101746330	Chromosome	University of California, Berkeley	PRJNA550271	31412
GCA_029228485.1	Populus_alba_x_berolinensis.Group_B.v1.2	Populus alba x Populus x berolinensis	444605		514425394	Chromosome	Northeast Forestry University	PRJNA845082	41817
GCA_046862605.1	Gotur_v1	Gossypium turneri	34284		846438418	Chromosome	Mississippi State University	PRJNA488266	35659
GCA_014466185.1	ASM1446618v1	Vespula vulgaris	7454		176272557	Chromosome	University of Otago	PRJNA643352	15512
GCA_000292725.1	SacArb1.0	Saccharomyces arboricola H-6	1160507		11547373	Chromosome	The University of Nottingham	PRJNA88533	3740
GCA_039657395.1	ASM3965739v1	Citrus x changshan-huyou	2935761		311885911	Chromosome	Zhejiang University	PRJNA1094463	29806
GCA_963970345.1	csSphTroe1.h1.1	Sphagnum troendelagicum	128251		399645782	Chromosome	ELIXIR Norway	PRJEB72139	25917
GCA_963971075.1	csSphJens1.h1.1	Sphagnum jensenii	128206		451119926	Chromosome	ELIXIR Norway	PRJEB72138	29900
GCA_954871325.2	tfGorSpeb1-WG-v2	Gordionus sp. m RMFG-2023	3053472		287640266	Chromosome	institute of evolutionary biology	PRJEB63266	10320
GCA_025433615.1	ASM2543361v1	Fusarium sp. LHS14.1	2898545		56318919	Chromosome	Academia Sinica	PRJNA782245	15935
GCA_025433555.1	ASM2543355v1	Fusarium keratoplasticum	1328300		53490075	Chromosome	Academia Sinica	PRJNA782245	15051
GCA_025433565.1	ASM2543356v1	Fusarium sp. Ph1	2898544		51460811	Chromosome	Academia Sinica	PRJNA782245	15498
GCA_944470435.2	tdSchRodh2.2	Schistosoma rodhaini	6188		413517952	Chromosome	WELLCOME SANGER INSTITUTE	PRJEB44434	10242
GCA_020887355.1	COCOBI_1.0	Coccomyxa sp. Obi	2315456		50164111	Chromosome	Research and Development Initiative, Chuo University	PRJDB9433	11746
GCA_944470545.2	tdHetHame1.3	Heterobilharzia americana	39320		685355840	Chromosome	WELLCOME SANGER INSTITUTE	PRJEB44434	12183
GCA_004337975.1	PspLS	Pyricularia sp. CBS 133598	403063		41493134	Chromosome	Academia Sinica	PRJNA507314	12078
GCA_009650685.1	Cryp_gatt_MF34	Cryptococcus gattii VGV	2268382		17886378	Chromosome	Broad Institute	PRJNA487802	6321
GCA_014905635.1	UMN_S.PABB004_v1	Scenedesmus sp. PABB004	2742167		39756104	Chromosome	University of Minnesota	PRJNA637367	7092
GCA_900097015.1	PADLG01	Plasmodium sp. gorilla clade G2	880535		22190694	Chromosome	WTSI	PRJEB13584	5566
GCA_944470385.2	tdSchInte2.2	Schistosoma intercalatum	6187		382498898	Chromosome	WELLCOME SANGER INSTITUTE	PRJEB44434	10022
GCA_017918225.1	LU_LNam_1.0	Leishmania sp. Namibia	2802991		34118624	Chromosome	Lancaster University	PRJNA689706	8266
GCA_900074735.1	LAFA0	Lachancea sp. 'fantastica'	1230904		11336659	Chromosome	INRA UMR 1319	PRJEB12929	5374
GCA_900240055.1	PGABG02	Plasmodium sp. DRC-Itaito	720590		20934218	Chromosome	WTSI	PRJEB13584	5301
GCA_900095595.1	PPRFG01	Plasmodium sp. gorilla clade G1	880534		24982595	Chromosome	WTSI	PRJEB13584	6201
GCA_004115005.2	UNAM_Carg_1.1	Cucurbita argyrosperma subsp. argyrosperma	1094858		228920650	Chromosome	Instituto de Ecologia, UNAM	PRJNA485527	27786
GCA_900097035.1	PBLACG01	Plasmodium sp. gorilla clade G3	880536		21840003	Chromosome	WTSI	PRJEB13584	5382
GCA_040363505.1	ASM4036350v1	Leishmania utingensis	653362		31161156	Chromosome	Fiocruz Rondonia	PRJNA995499	8465
GCA_040363675.1	ASM4036367v1	Leishmania lindenbergi	651832		31126262	Chromosome	Fiocruz Rondonia	PRJNA995499	8468
GCA_040363515.1	ASM4036351v1	Leishmania shawi	5680		31105818	Chromosome	Fiocruz Rondonia	PRJNA995499	8427
GCA_040363645.1	ASM4036364v1	Leishmania shawi	5680		31204482	Chromosome	Fiocruz Rondonia	PRJNA995499	8455
GCA_040363635.1	ASM4036363v1	Leishmania naiffi	5678		31671382	Chromosome	Fiocruz Rondonia	PRJNA995499	8533
GCA_900090035.2	PocGH01	Plasmodium ovale	36330		33451205	Chromosome	WTSI	PRJEB14392	7271
GCA_900090025.2	PowCR01	Plasmodium ovale	36330		33492878	Chromosome	WTSI	PRJEB14392	7047
GCA_900090005.1	PmlGA01	Plasmodium malariae	5858		23538473	Chromosome	WTSI	PRJEB14392	4805
GCA_002217885.1	Fsol_1.0	Fistulifera solaris	1519565		49736633	Scaffold	Tokyo University of Agriculture and Technology	PRJDB2969	20458
GCA_002335645.1	ScerevisiaeKagoshima_assembly01	Saccharomyces cerevisiae	4932		12238629	Scaffold	Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	PRJDB5836	5645
GCA_000181435.1	ASM18143v1	Saccharomyces cerevisiae YJM789	307796		11990995	Scaffold	Stanford University	PRJNA13304	5903
GCA_000325965.1	ScQA23_v01	Saccharomyces cerevisiae Lalvin QA23	764098		11804088	Scaffold	The Australian Wine Research Institute	PRJNA48561	5339
GCA_000182315.2	ASM18231v2	Saccharomyces cerevisiae JAY291	574961		11460779	Scaffold	Duke University Medical Center	PRJNA32809	5665
GCA_000256705.2	TGCAST v2	Toxoplasma gondii CAST	943122		64894722	Scaffold	J. Craig Venter Institute	PRJNA61553	9697
GCA_024195175.2	BUUCAGL_2022	Nakaseomyces glabratus	5478		12053058	Scaffold	Uludag University Medical School	PRJNA786916	4846
GCA_000448345.1	Cgr1.0	Cricetulus griseus	10029		2332774290	Scaffold	CeBiTec, Bielefeld University	PRJNA189319	21779
GCA_000002855.2	ASM285v2	Aspergillus niger	5061		33975768	Scaffold	DSM, The Netherlands	PRJNA19275	14532
GCA_003032435.1	Marchanta_polymorpha_v1	Marchantia polymorpha	3197		225760816	Scaffold	DOE Joint Genome Institute	PRJNA53523	19287
GCA_001602395.1	AspL_2604	Aspergillus luchuensis	1069201		34183795	Scaffold	National Institute of Brewing	PRJDB4548	12920
GCA_031213615.1	MorSM40-3	Pyrenophora teres f. teres	97479		48055886	Scaffold	USDA-ARS	PRJNA945875	13595
GCA_001675295.1	FPOA1.0	Fusarium poae	36050		46317270	Scaffold	Wageningen UR	PRJNA319914	14816
GCA_014362265.1	A.rufaFuchu_1.0	Actinidia rufa	165716		647239177	Scaffold	Kagawa University	PRJDB8483	52342
GCA_018446365.1	Cadam_11369	Crotalus adamanteus	8729		1597630743	Scaffold	Florida State University	PRJNA667573	796
GCA_007168705.1	ASM716870v1	Candidozyma auris	498019		12098315	Contig	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	PRJDB6988	5443
GCA_003184595.1	Asplac1	Aspergillus niger CBS 101883	1450533		35853610	Scaffold	DOE Joint Genome Institute	PRJNA235063	13359
GCA_000616845.1	Tric_kane_CBS_289_86_V1	Trichophyton rubrum CBS 289.86	1215329		23051776	Scaffold	Broad Institute	PRJNA186830	8961
GCA_000616805.1	Tric_fish_CBS_100081_V1	Trichophyton rubrum CBS 100081	1215328		23061810	Scaffold	Broad Institute	PRJNA186828	8985
GCA_046127475.1	ASM4612747v1	Talaromyces marneffei	37727		28872128	Contig	The Hong Kong Polytechnic University	PRJNA1163092	11242
GCA_001673695.2	ASM167369v2	Clavispora lusitaniae	36911		11992787	Scaffold	Bordeaux University	PRJNA323545	5740
GCA_019207935.1	ASM1920793v1	Ogataea parapolymorpha	1005962		8835019	Scaffold	Colorado College	PRJNA706707	5417
GCA_000591435.1	MR2010_11_27	Metarhizium robertsii	568076		40317276	Scaffold	U.S. Department of Agriculture	PRJNA230500	12479
GCA_000829775.1	TcelY94_1.0	Talaromyces pinophilus	128442		36402801	Scaffold	National Institute of Advanced Industrial Science and Technology (AIST)	PRJDB3250	11082
GCA_001245095.1	cj1	Cyberlindnera jadinii	4903		12707304	Scaffold	JUSTUS LIEBIG UNIVERSITAT	PRJEB7977	5566
GCA_013396185.1	ASM1339618v1	Fusarium circinatum	48490		42547896	Scaffold	US Department of Agriculture, Agriculture Research Service	PRJNA565749	13905
GCA_003025155.1	Trilo3	Trichoderma longibrachiatum ATCC 18648	983965		32238325	Scaffold	DOE Joint Genome Institute	PRJNA207876	11132
GCA_000389695.3	Cfim3.0	Ceratocystis fimbriata CBS 114723	1035309		30011674	Scaffold	Inqaba Biotech	PRJNA67151	7266
GCA_001661325.1	Lipst1_1	Lipomyces starkeyi NRRL Y-11557	675824		21267709	Scaffold	JGI	PRJNA71653	8278
GCA_000442885.1	ZYBA0	Zygosaccharomyces bailii CLIB 213	1333698		10268813	Contig	INRAMONTPELLIER	PRJEB1908	1018
GCA_000149895.1	ASM14989v1	Coccidioides immitis RMSCC 2394	404692		28816906	Scaffold	Broad Institute	PRJNA17713	10524
GCA_003704575.1	ASM370457v1	Hortaea werneckii	91943		49189099	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA428320	16590
GCA_019207995.1	ASM1920799v1	Ogataea polymorpha	460523		8877011	Scaffold	Colorado College	PRJNA706707	5434
GCA_040182555.1	ASM4018255v1	Coccomyxa subellipsoidea	248742		50915843	Scaffold	Senckenberg	PRJNA790449	10048
GCA_000151595.1	BD_ATCC18188_V1	Blastomyces dermatitidis ATCC 18188	653446		73582762	Scaffold	Broad Institute	PRJNA39265	10477
GCA_000167075.2	Saccharomyces_kudriavzevii_strain_IFO1802_v1.0	Saccharomyces kudriavzevii IFO 1802	226230		11189057	Scaffold	Washington University School of Medicine	PRJNA1442	3764
GCA_900322835.1	Pse_antar_v1	Moesziomyces antarcticus	84753		18376790	Contig	Technische Universitat Munchen - WZW	PRJEB25597	7251
GCA_021556675.1	ASM2155667v1	Batrachochytrium salamandrivorans	1357716		41738742	Contig	Ghent University	PRJNA623494	13318
GCA_000227095.3	Scomplicata_3.0	Saitoella complicata NRRL Y-17804	698492		14130614	Contig	Saitoella complicata genome sequencing consortium	PRJDA63243	7119
GCA_021556705.1	ASM2155670v1	Batrachochytrium salamandrivorans	1357716		36867569	Contig	Ghent University	PRJNA623493	1722
GCA_030867325.1	Colsu1	Colletotrichum sublineola	1173701		46916122	Scaffold	DOE Joint Genome Institute	PRJNA262370	15508
GCA_000517465.1	PseuAph1.0	Moesziomyces aphidis	84754		17921702	Scaffold	Fraunhofer IGB	PRJNA215967	6011
GCA_000313545.1	ASM31354v1	Serendipita indica DSM 11827	1109443		24979980	Scaffold	Institute of Bioinformatics and Systems Biology, Helmholtz Zentrum München, Neuherberg, Germany	PRJEA76339	11850
GCA_001908125.1	ASM190812v1	Penicillium subrubescens	1316194		39803164	Scaffold	CBS-KNAW Fungal Biodiversity Centre Institute of the Royal Netherlands Academy of Arts and Science	PRJNA343459	14337
GCA_013421405.2	ASM1342140v2	Aspergillus alliaceus	209559		41001620	Scaffold	The University of Western Australia	PRJNA516074	12950
GCA_030913515.1	Collu1	Colletotrichum lupini	145971		58756634	Contig	DOE Joint Genome Institute	PRJNA333340	15706
GCA_022533605.1	ASM2253360v1	Komagataella kurtzmanii	1342318		9079829	Contig	Kurchatov Center for Genomic Research	PRJNA772704	4927
GCA_047715655.1	Aspung1	Aspergillus unguis	40381		26060700	Scaffold	DOE Joint Genome Institute	PRJNA333890	10543
GCA_047715645.1	Aspne1	Aspergillus spinulosporus	1810908		30669358	Scaffold	DOE Joint Genome Institute	PRJNA334038	10683
GCA_009176455.1	Aspmin1	Aspergillus minisclerotigenes	656917		37064162	Scaffold	DOE Joint Genome Institute	PRJNA333902	13649
GCA_010723835.1	ASM1072383v1	Aspergillus udagawae	91492		31534050	Scaffold	Medical Mycology Research Center	PRJDB8156	11617
GCA_002749805.1	ASM274980v1	Aspergillus arachidicola	656916		38896857	Contig	USDA-ARS-SRRC	PRJNA385482	12090
GCA_008355005.1	Tsuc_wing_DSM_27421_V6	Cryptococcus floricola	2591691		20137742	Scaffold	Broad Institute	PRJNA384819	8367
GCA_004798825.1	ASM479882v1	Aspergillus tanneri	1220188		36538212	Scaffold	JCVI	PRJNA523837	13590
GCA_004325045.1	FIOER33 v1	Hamiltosporidium tvaerminnensis	1176355		18344352	Contig	Illinois Institute of Technology	PRJNA419750	4121
GCA_000820885.1	KLDO_01	Kluyveromyces dobzhanskii CBS 2104	1427455		10741898	Contig	SciLifeLab	PRJEB4949	4968
GCA_000986665.1	ASM98666v1	Aspergillus ochraceoroseus	138278		24273657	Contig	USDA-ARS-SRRC	PRJNA275128	7829
GCA_035927225.1	ASM3592722v1	Cryomyces antarcticus	329879		16651905	Scaffold	Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	PRJNA666634	6967
GCA_038380875.1	Phcitr1	Phyllosticta citrichinensis	1130410		29162704	Contig	DOE Joint Genome Institute	PRJNA347210	11237
GCA_038380855.1	Phcit1	Phyllosticta citribraziliensis	989973		31670975	Contig	DOE Joint Genome Institute	PRJNA331294	11242
GCA_024043135.1	ASM2404313v1	Alternaria rosae	1187941		32849075	Scaffold	Cornell University	PRJNA706766	11336
GCA_038381115.1	Phy27169	Phyllosticta paracitricarpa	2016321		29529839	Contig	DOE Joint Genome Institute	PRJNA347211	11173
GCA_009806415.1	ASM980641v1	Colletotrichum asianum	702518		64731264	Scaffold	Northwest A&F University	PRJNA504379	17966
GCA_000250695.1	Nema_parisii_ERTm2_V1	Nematocida ausubeli	1913371		4700711	Scaffold	Broad Institute	PRJNA61785	2831
GCA_038497415.1	Liptetr1	Lipomyces tetrasporus	54092		20463707	Scaffold	DOE Joint Genome Institute	PRJNA1069690	8198
GCA_900007135.1	D_fabryi_PRJEB9676_v1	Debaryomyces fabryi	58627		11997750	Scaffold	Genoscope CEA	PRJEB9676	6181
GCA_001646985.1	ASM164698v1	Fonsecaea multimorphosa	979981		33391590	Scaffold	Federal University of Parana	PRJNA312449	11836
GCA_000507425.3	Cryp_heve_CBS569_V2	Kwoniella heveanensis CBS 569	1296119		25253281	Scaffold	Broad Institute	PRJNA191336	8002
GCA_001008285.1	ASM100828v1	Emmonsia crescens UAMH 3008	1247875		30697411	Scaffold	Broad Institute	PRJNA178252	9558
GCA_030411855.1	ASM3041185v1	Friedmanniomyces endolithicus	329885		46418954	Scaffold	Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	PRJNA666634	18407
GCA_014839855.1	UCS_PECH_1.0	Penicillium ucsense	2839758		30427638	Scaffold	Universidade de Caxias do Sul	PRJNA520890	8366
GCA_003012285.1	Fusarium_longipes_NRRL20695_FLONG3_contigs	Fusarium longipes	694270		35314544	Scaffold	Robert Proctor's shared submissions	PRJNA436741	11421
GCA_038497515.1	Lipori1_1	Lipomyces orientalis	1233043		19864541	Scaffold	DOE Joint Genome Institute	PRJNA1069701	7843
GCA_035926155.1	ASM3592615v1	Elasticomyces elasticus	574655		73785195	Scaffold	Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	PRJNA666634	28923
GCA_963923925.1	CBS573.63_annotated_assembly_updated	Sporothrix epigloea	1892477		23040683	Contig	Spribille Lab	PRJEB62835	6840
GCA_035928065.1	ASM3592806v1	Meristemomyces frigidus	1508187		26439004	Contig	Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	PRJNA666634	9090
GCA_020536175.1	ASM2053617v1	Wickerhamomyces mucosus	1378264		12923157	Scaffold	Barcelona Supercomputing Center	PRJNA663430	5985
GCA_008704605.1	ASM870460v1	Trichomonascus ciferrii	44093		20534176	Scaffold	Centre for Genomic Regulation	PRJNA531406	6909
GCA_020536225.1	ASM2053622v1	Wickerhamomyces pijperi	599730		14706651	Scaffold	Barcelona Supercomputing Center	PRJNA663430	10176
GCA_902651935.1	araThaAn1v1	Arabidopsis thaliana	3702		120129838	Scaffold	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	PRJEB31147	27195
GCA_902705455.1	araThaC24v1	Arabidopsis thaliana	3702		119225180	Scaffold	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	PRJEB31147	27029
GCA_947370325.1	CQS_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12073726	Contig	ibps sorbonne universite	PRJEB50706	6524
GCA_949124895.1	CQS_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12073726	Contig	ibps sorbonne universite	PRJEB59413	6524
GCA_949125895.1	CGH_1_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12103758	Scaffold	ibps sorbonne universite	PRJEB59413	6456
GCA_029990825.1	AGK.nuclear_genome	Saccharomyces cerevisiae	4932		12078496	Contig	ibps sorbonne universite	PRJEB50706	6449
GCA_949124045.1	AGK.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12078496	Contig	ibps sorbonne universite	PRJEB59413	6449
GCA_947369785.1	AMM_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12672561	Contig	ibps sorbonne universite	PRJEB50706	6529
GCA_949124425.1	AMM_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12672561	Contig	ibps sorbonne universite	PRJEB59413	6529
GCA_030036195.1	BAF_collapsed.nuclear_genome	Saccharomyces cerevisiae	4932		12025847	Contig	ibps sorbonne universite	PRJEB50706	6579
GCA_949124855.1	BAF_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12025847	Contig	ibps sorbonne universite	PRJEB59413	6579
GCA_029991355.1	CPG_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12091771	Contig	ibps sorbonne universite	PRJEB50706	6408
GCA_949125375.1	CPG_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12091771	Contig	ibps sorbonne universite	PRJEB59413	6408
GCA_030035975.1	AAC_collapsed.nuclear_genome	Saccharomyces cerevisiae	4932		11969102	Scaffold	ibps sorbonne universite	PRJEB50706	6427
GCA_949124335.1	AAC_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		11969102	Scaffold	ibps sorbonne universite	PRJEB59413	6427
GCA_029990315.1	CCT_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12357081	Contig	ibps sorbonne universite	PRJEB50706	6520
GCA_949125495.1	CCT_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12357081	Contig	ibps sorbonne universite	PRJEB59413	6520
GCA_029991855.1	CDG_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12193818	Contig	ibps sorbonne universite	PRJEB50706	6447
GCA_949126065.1	CDG_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12193818	Contig	ibps sorbonne universite	PRJEB59413	6447
GCA_947370805.1	BDH_1b.nuclear_genome	Saccharomyces cerevisiae	4932		12090604	Contig	ibps sorbonne universite	PRJEB50706	6411
GCA_949124685.1	BDH_1b.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12090604	Contig	ibps sorbonne universite	PRJEB59413	6411
GCA_947369885.1	CPI_1c.nuclear_genome	Saccharomyces cerevisiae	4932		12035483	Scaffold	ibps sorbonne universite	PRJEB50706	6387
GCA_949125765.1	CPI_1c.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12035483	Scaffold	ibps sorbonne universite	PRJEB59413	6387
GCA_029990665.1	ALS_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12069622	Contig	ibps sorbonne universite	PRJEB50706	6467
GCA_949124125.1	ALS_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12069622	Contig	ibps sorbonne universite	PRJEB59413	6467
GCA_947370875.1	AHL.nuclear_genome	Saccharomyces cerevisiae	4932		12066693	Contig	ibps sorbonne universite	PRJEB50706	6444
GCA_949124345.1	AHL.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12066693	Contig	ibps sorbonne universite	PRJEB59413	6444
GCA_030036275.1	BPK_collapsed.nuclear_genome	Saccharomyces cerevisiae	4932		11676123	Contig	ibps sorbonne universite	PRJEB50706	6300
GCA_949124965.1	BPK_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		11676123	Contig	ibps sorbonne universite	PRJEB59413	6300
GCA_029990725.1	CNB_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12119584	Scaffold	ibps sorbonne universite	PRJEB50706	6442
GCA_949124905.1	CNB_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12119584	Scaffold	ibps sorbonne universite	PRJEB59413	6442
GCA_947370245.1	ABA.nuclear_genome	Saccharomyces cerevisiae	4932		12109277	Contig	ibps sorbonne universite	PRJEB50706	6443
GCA_949124355.1	ABA.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12109277	Contig	ibps sorbonne universite	PRJEB59413	6443
GCA_947370585.1	CBK.nuclear_genome	Saccharomyces cerevisiae	4932		12250244	Scaffold	ibps sorbonne universite	PRJEB50706	6461
GCA_949125905.1	CBK.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12250244	Scaffold	ibps sorbonne universite	PRJEB59413	6461
GCA_029991605.1	BAG_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12062428	Contig	ibps sorbonne universite	PRJEB50706	6394
GCA_949124825.1	BAG_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12062428	Contig	ibps sorbonne universite	PRJEB59413	6394
GCA_949123945.1	BAF_HP2.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12018206	Contig	ibps sorbonne universite	PRJEB59231	6407
GCA_949125785.1	CPS_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12238627	Scaffold	ibps sorbonne universite	PRJEB59413	6712
GCA_949125245.1	BAD_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12078722	Contig	ibps sorbonne universite	PRJEB59413	6521
GCA_029989085.1	AMP_1a.nuclear_genome	Saccharomyces cerevisiae	4932		12380288	Contig	ibps sorbonne universite	PRJEB50706	6458
GCA_949124115.1	AMP_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12380288	Contig	ibps sorbonne universite	PRJEB59413	6458
GCA_030036495.1	BBF_collapsed.nuclear_genome	Saccharomyces cerevisiae	4932		12247159	Contig	ibps sorbonne universite	PRJEB50706	6572
GCA_949124735.1	BBF_collapsed.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12247159	Contig	ibps sorbonne universite	PRJEB59413	6572
GCA_947370535.1	CDA.nuclear_genome	Saccharomyces cerevisiae	4932		12102675	Contig	ibps sorbonne universite	PRJEB50706	6426
GCA_949125565.1	CDA.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12102675	Contig	ibps sorbonne universite	PRJEB59413	6426
GCA_029991755.1	CEQ_1a.nuclear_genome	Saccharomyces cerevisiae	4932		11982662	Contig	ibps sorbonne universite	PRJEB50706	6335
GCA_949124935.1	CEQ_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		11982662	Contig	ibps sorbonne universite	PRJEB59413	6335
GCA_947370885.1	BPG.nuclear_genome	Saccharomyces cerevisiae	4932		12099820	Contig	ibps sorbonne universite	PRJEB50706	6454
GCA_949124845.1	BPG.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12099820	Contig	ibps sorbonne universite	PRJEB59413	6454
GCA_029991075.1	BGP_1a.nuclear_genome	Saccharomyces cerevisiae	4932		11927613	Contig	ibps sorbonne universite	PRJEB50706	6373
GCA_949124655.1	BGP_1a.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		11927613	Contig	ibps sorbonne universite	PRJEB59413	6373
GCA_947370495.1	APG.nuclear_genome	Saccharomyces cerevisiae	4932		12098357	Scaffold	ibps sorbonne universite	PRJEB50706	6424
GCA_949124575.1	APG.nuclear_genome.ScRAP	Saccharomyces cerevisiae	4932		12098357	Scaffold	ibps sorbonne universite	PRJEB59413	6424
GCA_029990685.1	AIE.nuclear_genome	Saccharomyces cerevisiae	4932		11929080	Contig	ibps sorbonne universite	PRJEB50706	6353
